REGISTRY_ID,FAC_NAME,FAC_STATE,FAC_EPA_REGION,FAC_MAJOR_FLAG,FAC_NAICS_CODES,TARGET_VIOLATION_12M
110001778416.0,VALLEY VIEW FARMS,MD,3.0,,325314,0
110065369648.0,IDX-LOS ANGELES,CA,9.0,,56299 339942,0
110002596904.0,HAMMEN CO,AZ,9.0,,323119,0
110003441017.0,YALE CO INC,MA,1.0,,333512,0
110070591293.0,OC MOTORCYCLE INC DBA OC MOTORCYCLE,CA,,,56299 336991,0
110002909121.0,AIR TRANSPORT MFG CO,CA,,,332322,0
110064339032.0,C.W.MATTHEWS CONSTRUCTING COMPANY INC. DALTON PLANT,GA,4.0,,324121,0
110071131863.0,PIAZZA ENTERPRISES LLC DBA PIAZZA'S TOP GUN COATINGS OF LOUISIANA,LA,,,325510,0
110009491656.0,AUTO MACHINE & PARTS,TN,,,336211,0
110055446361.0,OILFIELD RD BRIDGE LADOTD,LA,6.0,,322219 23832,0
110055732701.0,AVOLONTE HEALTH LLC,CA,9.0,,334517,0
110005294298.0,VERMONT MACHINE TOOL,VT,1.0,,333512 333517,0
110055760403.0,ELO TOUCH SOLUTIONS,CA,9.0,,334419,0
110071136067.0,PARAGON LABEL LLC,CA,,,56299 323113,0
110000851980.0,TRI STATE ENVELOPE CORPORATION,MD,3.0,,333293,0
110001462612.0,S & K INDUSTRIES INC - B #5,MO,7.0,,321113,0
110070430001.0,ARMANDO'S TRANSMISSIONS,CA,,,56299 314999 811111,0
110005867687.0,LAMSON OIL CO,IL,5.0,,324191,0
110070692049.0,PYROTEK,IN,5.0,,493110 333999,0
110031348600.0,"N. WASSERSTROM & SONS, INC.",OH,5.0,,333241,0
110009353564.0,"W & A MFG COMPANY, INC.",AR,6.0,,333111,0
110002373609.0,DIVERSIFIED PANEL SYSTEMS,CA,9.0,,316110,0
110005352279.0,CUSTOMER SUPPORT SVCS AND PLASTICS,WA,10.0,,334515 326199,0
110006236714.0,GREENFIELD PRODUCTS INC,OH,5.0,,332999 332812,0
110043853684.0,ITW DEVILBISS,TN,4.0,,333912,0
110006780732.0,SMYRNA READY MIX CONCRETE LLC - SRM PLANT #155,FL,4.0,,327320,0
110071546759.0,C K ENTERPRISES,MO,7.0,,325411,1
110022416562.0,WESTROC INC,UT,8.0,,327331,0
110070875519.0,SUPERIOR PAVING CORP- PINEY RIVER ASPHALT PLANT,VA,3.0,,324121,0
110003585451.0,SAGINAW ASPHALT PAVING,MI,5.0,,23731 42383 324121,0
110007667211.0,ADAMS-MILLIS HOISERY PLANT #3,NC,4.0,,49311 315119 313312,0
110005070617.0,SIMPSON STRONG-TIE,TX,6.0,,332119,0
110039071875.0,NEXTEK INC,AL,4.0,,334418,0
110007278720.0,SJOSTROM & SONS INC,IL,5.0,,327320,0
110002131924.0,LEHIGH PRESS DALLAS,TX,6.0,,323111 323110,0
110003146319.0,CARSWELL FIRMAN L MFG CO INC,KS,7.0,,3323 453998 332312 332322,0
110022524981.0,SOUTH DAKOTA SOY PROCESSORS,IL,5.0,,339999,0
110004336790.0,ARC SYSTEMS INC,NY,2.0,,335312 336322,0
110044952398.0,"TEG ENTERPRISES, INC.",TN,4.0,,332439,0
110001269298.0,SHAMROCK PIPE TOOLS,LA,6.0,,332812,0
110038913806.0,WINDY HILL PET FOOD CO. INC.,KS,7.0,,311111,0
,STILL LIFE CERAMICS,CA,9.0,,327110,1
110070256769.0,"SMYRNA READY MIX CONCRETE, LLC",TN,4.0,,327320,0
110022938829.0,AGRITRONICS CORP,IA,7.0,,311119,0
110019419896.0,CARVER STONE- ASPHALT PLANT,NY,2.0,,324121,0
110024550421.0,SIKA LIQUID PLASTICS,CT,1.0,,325211,0
110009851295.0,SHUFORD MILLS INCORPORATED - HICKORY SPINNER #34,NC,4.0,,313111,0
110001301608.0,ARDENT MILLS - MANKATO,MN,5.0,,311211,0
110001356489.0,BULKMATIC TRANSPORT CO.,IL,5.0,,339999,0
110045964952.0,ROHM AND HAAS ELECTRONIC MATERIALS CMP INC.,DE,3.0,,325991 31332,0
110002207898.0,"LEXINGTON CONCRETE AND BLOCK COMPANY INC, LEXINGTON PLANT",MS,4.0,,327320,0
110010340862.0,BITUMINOUS PAVING,MN,5.0,,324121,0
110038615692.0,NORTH STAR PRINTING,CO,8.0,,323111 999999,0
110007046339.0,BARD MATERIALS - CENTRAL CITY,IA,7.0,,327320,0
110057839353.0,"BURNS GAUGE & MACHINE, INC",TN,4.0,,333999,0
110070481256.0,CURTISS-WRIGHT FLOW CONTROL COMPANY ENERTECH,CA,,,333319,0
110039628962.0,COLUMBIA READY MIX CONCRETE INC,FL,4.0,,327320,0
110011718203.0,BLAIR FLOUR MILL,NE,7.0,,311211,0
110000311412.0,MD STETSON COMPANY,MA,1.0,,325611 325612 32561,0
110000481201.0,VITESSE SEMICONDUCTOR CORP.,CA,9.0,,334413,0
110038652357.0,TRUS-CO. INC.,CO,8.0,,321918,0
110003147808.0,BURNHAM PRODUCTS INC,KS,7.0,,336413,0
110045477453.0,CITY OF FOLEY,AL,4.0,,325320,0
110041014586.0,PINAL ENERGY,AZ,9.0,,325193,0
110071694128.0,CITY VENTURES,CA,,,327999 236118,0
110040948080.0,DELTA TRADING ICO CRIMSON RESOURCE MGMT,CA,9.0,,42471 324110,0
110005531638.0,PROGRESSIVE INK COMPANY LLC,WI,5.0,,325910,0
110013313958.0,STANDARD GOLF CO,IA,7.0,,332999 339920,0
110020834454.0,READY MIX USA - MARIANNA PLANT,FL,4.0,,327320,0
110014377637.0,SINGULUS TECHNOLOGIES INC,CA,9.0,,334613 332813,0
110072127371.0,"EAST VALLEY DEVELOPMENT, LLC",ID,10.0,,221210 325120,0
110009413170.0,WESTERN PUBLISHING COMPANY,MO,7.0,,323122,0
110003329210.0,WPS INDUSTRIES INC,LA,,,213112 332999,0
110071675566.0,PROACTIVE DIAGNOSTICS,CA,,,339113,0
110071323907.0,"FINISHING LAB, LLC",MT,8.0,,332813,0
110001943611.0,PRATT & AUSTIN COMPANY INC,MA,1.0,,322232 322230,0
110003264324.0,FLOWSERVE,LA,6.0,,333512,0
110039398951.0,SURFECT TECHNOLOGIES INC,AZ,9.0,,334413 335999,0
110071057169.0,ROBERT D. NUNEZ DDS,CA,,,325992,0
110071927897.0,UTZ QUALITY FOODS,PA,3.0,,311919,0
110031079650.0,TROY OWENS,IL,5.0,,339999,0
110037069276.0,PILLER AIMMCO GRANT ST,WA,10.0,,326199,0
110067126773.0,ICON FOODS,OR,10.0,,325998,0
110007077180.0,WILCOX ALL-PRO TOOLS & SUPPLY,IA,7.0,,332212,0
110001775133.0,PEPSI-COLA BOTTLING,MD,3.0,,312111,0
110000420269.0,"CITRUS SYSTEMS - MADISON, LLC",WI,5.0,,311411,0
110004041803.0,PHARR YARNS MCADEN COMPLEX,NC,4.0,,313312 313310,0
110072081338.0,"FAIRLIFE, LLC (P1512)",MI,5.0,,311511,0
110071948697.0,CARDINAL CG COMPANY,TN,4.0,,327215,0
110070091136.0,DURABAG CO INC,CA,9.0,,326111,0
110005969746.0,BLAKESLEE PRESTRESS INC,CT,1.0,,327390,0
110004740950.0,ITEN INDUSTRIES INC PLANT 4,OH,5.0,,326199,0
110070206570.0,AQUARO HISTOLOGY INC,MI,,,339112,0
110018280983.0,KENNAMETAL TRICON,IL,5.0,,332312 332313,0
110020517653.0,PRECOR 142ND AVE,WA,10.0,,541380 339920,0
110006511523.0,DIVISION HEALTH & MOBILITY SYS,MD,3.0,,335314 333924 336211,0
110037382203.0,SWISS-O-MATIC INC,CO,8.0,,332721,0
110003071452.0,SMALL PARTS INCORPORATED,IN,5.0,,332116 332119 33211,0
110070360948.0,MACH 1 FOOD SHOP 4,IL,5.0,,339999,0
110002141263.0,PTM AND W INDUSTRIES INCORPORATED,CA,9.0,,325211 339999,0
110002375064.0,TRI STATE PRINTING,MD,3.0,,323110,0
110020124382.0,WEST METRO DRUG TASK FORCE,CO,8.0,,339999,0
110038966697.0,"T. L. JAMES & CO,INC",MS,4.0,,324121,0
110037386343.0,BLUE BIRD SOUTH,GA,4.0,,336112,0
110072140582.0,ADRIEN ROCHA,CA,9.0,,327999,0
110001432478.0,MILLERCOORS - LONGMONT,CO,8.0,,312120,0
110001452712.0,TITAN TUBE FABRICATORS INC,MO,7.0,,332117 326122 337215,0
110001936941.0,"BARTLETT MILLING COMPANY, L.P.",KS,7.0,,311211,0
110002180791.0,DIXIE POLY DRUM CORPORATION,SC,4.0,,326121,0
110004959395.0,CALDWELL CHEMICAL COATINGS CORP,TN,4.0,,325510,0
110005169450.0,AW CHESTERTON CO,TX,6.0,,339991,0
110018124448.0,PLOTE CONSTRUCTION INC,IL,5.0,,324121,0
110001681118.0,PIONEER FOUNDRY CO INC,MI,5.0,,331511,0
110008281545.0,C W R  MFG,CA,9.0,,336399,0
110071285727.0,IR PRODUCTS WEST COAST HYDROGEN - HP-2,CA,9.0,,325120,0
110071131745.0,AMPHENOL PRINTED CIRCUITS,AZ,9.0,,334418 334417,0
110072163167.0,PROGRESSIVE SCREENS,FL,4.0,,332321,0
110007641515.0,PILLSBURY (SUBSIDIARY OF GENERAL MILLS),MO,7.0,,311422 315999 311830 31199 311612 311999 311412,0
110012440894.0,PRAXAIR SURFACE TECHNOLOGIES,CA,9.0,,332812 332813 32551,0
110071176739.0,AMERESCO ROXANA RNG LLC,IL,5.0,,562212 339999,0
110055499214.0,ENID BATCH PLANT,OK,6.0,,327320,0
110055425295.0,ONCORE MANUFACTURING SERVICES,CO,8.0,,334419,0
110001306293.0,"MORGAN FOODS, INC.",IN,5.0,,311421 311999 311422,0
110010301191.0,EDWARD HINES LUMBER,IL,5.0,,321911,0
110055911615.0,S & R METALS INC,CA,9.0,,332116,0
110072011058.0,DAVMAR AIR ENTERPRISES DBA DAVMAR,CA,,,333912,0
110039130339.0,WIREGRASS CONSTRUCTION COMPANY INC,AL,4.0,,324121,0
110066974377.0,BRASS CRAFT-THOMASVILLE,NC,,,332913,0
110070209603.0,FAGRON STERILE SERVICES,MA,1.0,,325412,0
110007305148.0,CENTRAL BOAT RENTALS INC - BAYOU BOEUF SHIPYARD,LA,6.0,,336612 211111,0
110071137316.0,BEAKER & WRENCH,CA,9.0,,334516,0
110038457746.0,"FSC II, LLC - ELIZABETH CITY ASPHALT PLANT",NC,4.0,,324121,0
110000444430.0,STARLINE EAST EXPANSION,MO,7.0,,332992,0
110002124530.0,SICPA INK SYSTEMS CORP,IL,5.0,,325910,0
110027983760.0,STRUCTURES OF USA,PA,3.0,,331111,0
110040517161.0,AMERICAN GEOPHYSICAL UNION,DC,3.0,,321991,0
110055079203.0,WOODWORTH INC,MI,5.0,,332812,0
110070430939.0,ASTRA,CA,,,56299 336414,0
110009430428.0,NORTH AMERICAN REFRACTORIES CO,OH,5.0,,327125 327124,0
110070047480.0,SCOTT PET PRODUCTS,IN,5.0,,311111,0
110031256806.0,LOWES HOME CENTERS INC - FRONT ROYAL #25,VA,3.0,,335312,0
110009573167.0,SEAL TITE - A DIVISION OF LITTLE CHIEF INDUSTRIES INC,KS,7.0,,332812,0
110046386282.0,SIGNATURE HEATING & AIR,CO,8.0,,333415,0
110071463810.0,ATHENA AG INC,CA,,,325320,0
110058889449.0,METOKOTE CORPORATION PLANT 19,NC,4.0,,332812,0
110007383811.0,TRUE TEMPER CORP DUNKIRK PLT,NY,2.0,,332212,0
110070482124.0,"EXPRESS MEDIA GRAPHICS, INC.",CA,9.0,,326199 31611 325998 332211,0
110000430436.0,CARTEX CORP,IL,5.0,,326140 32615 326150,0
110001484322.0,"HAMBY BROTHERS CONCRETE, INC.",NC,4.0,,327320 32732,0
110001303991.0,EAST ST. LOUIS HOUSING AUTHORITY,IL,5.0,,339999 62422,0
110002235867.0,ELLCON NATIONAL INCORPORATED,SC,4.0,,333517,0
110038351084.0,LOUIS DREYFUS CORP,MS,4.0,,311211,0
110070665088.0,HYPERTHERM INC,NH,,,333515,0
110023160345.0,"PREFERRED MATERIALS, INC.",FL,4.0,,324121,0
110056367845.0,MEL-O-CREAM DONUTS INTERNATIONAL INC,IL,5.0,,311812,0
110071423083.0,RUTHLESS VAPOR CORPORATION,CA,,,339999,0
110070666627.0,GE AEROSPACE,AL,4.0,,336412,0
110001330827.0,MFI MERCHANDISING,IA,7.0,,332311 423440,0
110071663332.0,TIPP CITY PURPLE COW CREAMERY,OH,5.0,,311511,0
110038615282.0,KUNER EMPSON    CLOSED,CO,8.0,,311421,0
110072044978.0,GRONINGER USA LLC,NC,,,333993,0
110007009959.0,410TPH ASPHALT DRUM MIX PLANT,NM,6.0,,324121,0
110002473975.0,JIFFY REPROGRAPHICS INCORPORATED,FL,4.0,,323114,0
110001624476.0,XENIA FOUNDRY,OH,5.0,,331511,0
110070507270.0,FISCHER EXCAVATING INC,IL,5.0,,339999,0
110065670535.0,OMNI TEAM INC,CA,9.0,,336391 56299,0
110003454388.0,SMITH PRINT CORP,MA,1.0,,334419,0
110070419988.0,JETCO TORQUE TOOLS LLC,CA,,,335999,0
110009265614.0,KARSTEN PRECISION HEAT TREAT,AZ,9.0,,332811 33992,0
110055527979.0,SCP DISTRIBUTORS LLC,NC,4.0,,325998,0
110071334293.0,PROTERRA GREENVILLE BATTERY FACTORY,SC,4.0,,336320,0
110002336892.0,LOT 27-78 FORMER CONSOLIDATED AUTO SCREEN,RI,1.0,,313310 313311,0
110038382336.0,KNIFE RIVER GARDEN RIDGE ASPHALT PLANT,TX,6.0,,324121,0
110067369911.0,ENHANCEMENTS INC.,MO,7.0,,315999,0
110001455684.0,ACME BATTERY MANUFACTURING CO INC,MO,7.0,,335911 326199,0
110071248790.0,"QUANTUM INNOVATIONS, INC.",OR,,,325180,0
110008242892.0,GRANDE CHEESE CO WYOCENA,WI,,,311513,0
110000387153.0,CLEVELAND BLACK OXIDE INC.,OH,5.0,,332813,0
110002582517.0,GLASSWERKS PHX LLC,AZ,9.0,,327211,0
110062735722.0,BOSTON NORTH ASSOCIATION,NH,1.0,,324121,0
110000415907.0,CENTRAL PETROLEUM CO,IA,7.0,,32532 324191 424950 324122 325510,0
110002998212.0,CELESTICA CORPORATION,CO,8.0,,334412,0
110069392482.0,DEPUY SYNTHES,PA,,,339113,0
110070478959.0,CLIC LLC DBA ANDRESEN,CA,,,56299 323119,0
110070458672.0,ELEGUS EPS LLC,MI,,,322121,0
110000568902.0,T-TECH CORPORATION,TN,4.0,,42291 325314 32531,0
110070412856.0,LONG-LOK FASTENERS CORPORATION,CA,9.0,,332722 56299,0
110009586028.0,LISBON PRODUCTS INC,MA,1.0,,337127,0
110055860698.0,"OORJA PROTONICS, INC.",CA,9.0,,56299 335999,0
110044442671.0,FRANKLIN DEVELOPMENT COMPANY LLC,MS,4.0,,332510,0
110000449596.0,CERTAINTEED CORP - LAKE CHARLES POLYMER PLANT,LA,6.0,,325211 531390,0
110001858124.0,MANVILLE FOREST PRODUCTS CORP PACKAGING DIV,TN,4.0,,811111 322212,0
110040623572.0,CSI MANUFACTURING INC,MA,1.0,,333514,0
110005356541.0,RECONTEK OF WASHINGTON INC,WA,10.0,,325998,0
110002135038.0,HOWARD SYSTEMS,TX,6.0,,333414 332322,0
110004971861.0,BLUFF CITY MANUFACTURING CO*,TN,4.0,,332323,0
110070422294.0,VALTRA INC.,CA,,,333132 44611,0
110008708602.0,TAPEMARK CO - 223 MARIE AVE,MN,5.0,,323112,0
110014366756.0,NEW YORK HEATING CORP,NY,2.0,,333414,0
110070204629.0,PRODUCERS DAIRY FOODS INC,CA,9.0,,311514,0
110027215396.0,HANSON AGGREGATES - ASPHALT BATCH PLANT,AZ,9.0,,324121,0
110027228676.0,FRED WEBER INC (SITE FOR PORT 777-0518),MO,7.0,,324121,0
110003361497.0,PORT OF NEW ORLEANS- TRANSCOASTAL MARINE,LA,6.0,,332312,0
110071844863.0,TRAYER ENGINEERING CORPORATION,CA,,,339999,0
110055233322.0,TALONS COVE ASPHALT PLANT,UT,8.0,,324121,0
110071052674.0,ARROWHEAD WATERS,CA,9.0,,56299 312112,0
110031337444.0,EYECATCHER SIGNS,FL,4.0,,323113,0
110000898921.0,LENTHOR ENGINEERING INC,CA,9.0,,334412,0
110001973794.0,NEW BEDFORD THREAD,MA,1.0,,313113 313110,0
110024951756.0,TUCKER'S MILL,AR,6.0,,321113,0
110040371291.0,SHMAZE CUSTOM COATINGS,CA,9.0,,332812,0
110003325633.0,TERREBONNE MARINE RPR,LA,6.0,,336612,0
110018682380.0,THOMASVILLE FURNITURE COMPANY,NC,4.0,,337121,0
110006486463.0,ACPT,CA,9.0,,325211,0
110038975099.0,COPY CAT PRINTING,NE,7.0,,323114,0
110072119529.0,"AMPARO MEDICAL TECHNOLOGIES, INC.",CA,9.0,,325520,0
110071119350.0,SIDEWINDER SPIRITS,CA,,,312130,0
110009056154.0,GRAVES CO PAVING PLANT,KY,4.0,,324121,0
110004158358.0,COSETTE PHARMACEUTICALS INC,NJ,2.0,,325412,0
110004992456.0,GREENFIELD ENGINEERING INC.,TN,4.0,,332313,0
110043670890.0,BADGER MINING CORPORATION - MERRILLAN COATING PLANTS,WI,5.0,,212322 325998,0
110000434450.0,PRECISION FORMING & STAMPING,IL,5.0,,332119 339999 332116,0
110002886306.0,DELUXE CHECK PRINTERS INC,CA,9.0,,323118 32311 323115,0
110070534301.0,FOAM DESIGN GROUP,CA,,,322220,0
110015899722.0,GELMAN SCIENCES INC,MI,5.0,,339113,0
110014646810.0,PALLETS UNLIMITED,NJ,2.0,,333996,0
110000898565.0,ETCH-TEK ELECTRONICS CORPORATI,CA,9.0,,334412,0
110022938491.0,WILLOUGHBY INDUSTRIES,IN,5.0,,326191,0
110040098612.0,ZOMEWORKS CORP,NM,6.0,,332812 237130 33271,0
110069994728.0,"GUYOUNGTECH USA, INC.",AL,4.0,,336370 332812,0
110000601242.0,FMC FRAN RICA,CA,9.0,,333111,0
110001452758.0,NATIONAL BY-PRODUCTS INC,MO,7.0,,311613 311611,0
110008277934.0,PACIFIC SCREW PRODUCTS,CA,9.0,,333512,0
110072028245.0,VERNE Q POWELL FLUTES INC,MA,,,339992,0
110030547692.0,COLLOIDS INC,NJ,2.0,,325613,0
110002654182.0,COMMERCIAL SANDBLAST CO,CA,9.0,,332813 56299,0
110000862371.0,U S  BATTERY MFG  CO,CA,9.0,,335911 33591 335910,0
110007099987.0,PACE CONSTRUCTION CO,MO,7.0,,324121,0
110009270136.0,SWAGELOK MANUFACTURING COMPANY LLC,OH,5.0,,332919,0
110064054801.0,FOURCHON #3 FACILITY,LA,6.0,,325991,0
110018178149.0,MIKE & HENRYS AUTO SVC,IL,5.0,,339999,0
110069339978.0,"GARROTT BROTHERS CONTINUOUS MIX, INC.- PORTLAND",TN,4.0,,327320,0
110070684130.0,NAPER MART INC,IL,5.0,,339999,0
110002134217.0,UNION CARBIDE CORP LINDE DIV,TX,6.0,,325120,0
110070470371.0,PROSETTA BIOSCIENCES INC,CA,,,325412 56299 54171,0
110072018446.0,"DAIRY FARMERS OF AMERICA, INC. - POLLOCK, SD",SD,,,311513,0
110009570339.0,CALIFORNIA HOME BRANDS INC (PERK FOOD),KS,7.0,,49311 311111,0
110001947323.0,RUSSER FOODS,MA,1.0,,311611,0
110004591790.0,AKRON PLATING COMPANY LLC,OH,5.0,,332813,0
110071463447.0,PROPERTY MANGEMENT CONSULTANCY,CA,,,333923,0
110004409186.0,CAM-TECH INDUSTRIES INC,NY,2.0,,332721,0
110035579530.0,CARROLL'S BUILDING MATERIALS,FL,4.0,,327320 444180,0
110000438697.0,RICHARDS BRICK CO,IL,5.0,,327120 327121 327215,0
110000582566.0,EASTERN ALLOYS INC,NY,2.0,,331492 331419 331491 332813,0
110070541380.0,CORTINA LEATHERS (0204020430),OH,5.0,,316110,0
